IATA,Airport name,Country,City,lat,long,code,,,,
AAA,Anaa Airport,French Polynesia,Anaa,-17.3526,-145.509995,PF,,Anaa Airport,,
AAB,Arrabury Airport,Australia,Tanbar,-26.69639,141.048718,AU,,Arrabury Airport,,
AAC,El Arish International Airport,Egypt,El Arish,31.078565,33.836791,EG,,El Arish International Airport,,
AAD,Adado Airport,Somalia,Adado,6.095802,46.6375,SO,,Adado Airport,,
AAE,Annaba Rabah Bitat Airport,Algeria,Annaba,36.826781,7.81334,DZ,,Annaba Rabah Bitat Airport,,
AAF,Apalachicola Regional Airport,United States of America,Apalachicola,29.727501,-85.027496,US,,Apalachicola Regional Airport,,
AAG,Avelino Vieira Airport,Brazil,Arapoti,-24.103901,-49.789101,BR,,Avelino Vieira Airport,,
AAH,Aachen-Merzbrück Airport,Germany,Aachen,50.823055,6.186389,DE,,Aachen-Merzbrück Airport,,
AAI,Arraias Airport,Brazil,Arraias,-13.025154,-46.884107,BR,,Arraias Airport,,
AAJ,Cayana Airstrip,Suriname,Awaradam,3.898681,-55.577907,SR,,Cayana Airstrip,,
AAK,Aranuka Airport,Kiribati,Buariki,0.185278,173.636993,KI,,Aranuka Airport,,
AAL,Aalborg Airport,Denmark,Aalborg,57.094763,9.84993,DK,,Aalborg Airport,,
AAM,Malamala Airport,South Africa,Malamala,-24.816866,31.544085,ZA,,Malamala Airport,,
AAN,Al Ain International Airport,United Arab Emirates,Al Ain,24.261699676513672,55.60919952392578,AE,,Al Ain International Airport,,
AAO,Anaco Airport,Venezuela,Anaco,9.430225,-64.470726,VE,,Anaco Airport,,
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Indonesia,Samarinda,-0.374478,117.250128,ID,,Aji Pangeran Tumenggung Pranoto International Airport,,
AAQ,Anapa Vityazevo Airport,Russia,Krasnyi Kurgan,45.002102,37.347301,RU,,Anapa Vityazevo Airport,,
AAR,Aarhus Airport,Denmark,Aarhus,56.303331,10.618286,DK,,Aarhus Airport,,
AAS,Apalapsili Airport,Indonesia,Apalapsili,-3.882495,139.310932,ID,,Apalapsili Airport,,
AAT,Altay Xuedu Airport,China,Altay,47.749886,88.085808,CN,,Altay Xuedu Airport,,
AAU,Asau Airport,Samoa,Asau,-13.505132,-172.627888,WS,,Asau Airport,,
AAV,Allah Valley Airport,Philippines,Surallah,6.367903,124.752431,PH,,Allah Valley Airport,,
AAX,Romeu Zema Airport,Brazil,Araxá,-19.5632,-46.9604,BR,,Romeu Zema Airport,,
AAY,Al Ghaydah International Airport,Yemen,Al Ghaydah,16.193341,52.174186,YE,,Al Ghaydah International Airport,,
AAZ,Quezaltenango Airport,Guatemala,Quezaltenango,14.8656,-91.501999,GT,,Quezaltenango Airport,,
ABA,Abakan International Airport,Russia,Abakan,53.740002,91.385002,RU,,Abakan International Airport,,
ABB,Asaba International Airport,Nigeria,Asaba,6.204167,6.665278,NG,,Asaba International Airport,,
ABC,Albacete Airport / Los Llanos Air Base,Spain,Albacete,38.948502,-1.86352,ES,,Albacete Airport / Los Llanos Air Base,,
ABD,Abadan Airport,Iran,Abadan,30.367887,48.230075,IR,,Abadan Airport,,
ABE,Lehigh Valley International Airport,United States of America,Allentown,40.651773,-75.442797,US,,Lehigh Valley International Airport,,
ABF,Abaiang Airport,Kiribati,Abaiang,1.79861,173.041,KI,,Abaiang Airport,,
ABG,Abingdon Downs Airport,Australia,Abingdon Downs,-17.608814,143.183531,AU,,Abingdon Downs Airport,,
ABH,Alpha Airport,Australia,Alpha,-23.652849,146.582668,AU,,Alpha Airport,,
ABI,Abilene Regional Airport,United States of America,Abilene,32.41130066,-99.68190002,US,,Abilene Regional Airport,,
ABJ,Félix-Houphouët-Boigny International Airport,Ivory Coast,Abidjan,5.26139,-3.92629,CI,,Félix-Houphouët-Boigny International Airport,,
ABK,Kebri Dahar Airport,Ethiopia,Kebri Dahar,6.732577,44.241339,ET,,Kebri Dahar Airport,,
ABL,Ambler Airport,United States of America,Ambler,67.105529,-157.855339,US,,Ambler Airport,,
ABM,Northern Peninsula Airport,Australia,Bamaga,-10.946194,142.455081,AU,,Northern Peninsula Airport,,
ABN,Albina Airport,Suriname,Albina,5.51272,-54.050098,SR,,Albina Airport,,
ABO,Aboisso Airport,Ivory Coast,Aboisso,5.461944,-3.234722,CI,,Aboisso Airport,,
ABP,Atkamba Airport,Papua New Guinea,Atkamba Mission,-6.06462,141.095173,PG,,Atkamba Airport,,
ABQ,Albuquerque International Sunport,United States of America,Albuquerque,35.039976,-106.608925,US,,Albuquerque International Sunport,,
ABR,Aberdeen Regional Airport,United States of America,Aberdeen,45.449100494384766,-98.42179871,US,,Aberdeen Regional Airport,,
ABS,Abu Simbel Airport,Egypt,Abu Simbel,22.367657,31.609962,EG,,Abu Simbel Airport,,
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Saudi Arabia,Al-Baha,20.298506,41.636153,SA,,King Saud Bin Abdulaziz (Al Baha) Airport,,
ABU,AA Bere Tallo (Haliwen) Airport,Indonesia,Atambua,-9.074841,124.903285,ID,,AA Bere Tallo (Haliwen) Airport,,
ABV,Nnamdi Azikiwe International Airport,Nigeria,Abuja,9.00679,7.26317,NG,,Nnamdi Azikiwe International Airport,,
ABX,Albury Airport,Australia,Albury,-36.066758,146.959148,AU,,Albury Airport,,
ABY,Southwest Georgia Regional Airport,United States of America,Albany,31.532946,-84.196215,US,,Southwest Georgia Regional Airport,,
ABZ,Aberdeen Dyce Airport,United Kingdom,Aberdeen,57.2019,-2.19778,GB,,Aberdeen Dyce Airport,,
ACB,Antrim County Airport,United States of America,Bellaire,44.988602,-85.198402,US,,Antrim County Airport,,
ACC,Kotoka International Airport,Ghana,Accra,5.605189800262451,-0.166786,GH,,Kotoka International Airport,,
ACD,Alcides Fernández Airport,Colombia,Acandí,8.497847,-77.274106,CO,,Alcides Fernández Airport,,
ACE,César Manrique-Lanzarote Airport,Spain,San Bartolomé,28.945499,-13.6052,ES,,César Manrique-Lanzarote Airport,,
ACF,Aral Tarim Airport,China,Aral,40.434748,81.26206,CN,,Aral Tarim Airport,,
ACH,Sankt Gallen Altenrhein Airport,Switzerland,St. Gallen,47.485001,9.56077,CH,,Sankt Gallen Altenrhein Airport,,
ACI,Alderney Airport,Guernsey,Saint Anne,49.706104,-2.21472,GG,,Alderney Airport,,
ACJ,Anuradhapura Airport,Sri Lanka,Anuradhapura,8.301542,80.42848,LK,,Anuradhapura Airport,,
ACK,Nantucket Memorial Airport,United States of America,Nantucket,41.25310135,-70.06020355,US,,Nantucket Memorial Airport,,
ACN,Ciudad Acuña New International Airport,Mexico,Ciudad Acuña,29.333662,-101.100555,MX,,Ciudad Acuña New International Airport,,
ACP,Sahand Airport,Iran,Maragheh,37.347999572753906,46.127899169921875,IR,,Sahand Airport,,
ACR,Araracuara Airport,Colombia,Araracuara,-0.600854,-72.398011,CO,,Araracuara Airport,,
ACS,Achinsk Airport,Russia,Achinsk,56.269185,90.57511,RU,,Achinsk Airport,,
ACT,Waco Regional Airport,United States of America,Waco,31.611299514770508,-97.23049927,US,,Waco Regional Airport,,
ACU,Achutupu Airport,Panama,Mamitupu,9.188481,-77.994153,PA,,Achutupu Airport,,
ACV,California Redwood Coast-Humboldt County Airport,United States of America,Arcata/Eureka,40.978101,-124.109,US,,California Redwood Coast-Humboldt County Airport,,
ACX,Xingyi Wanfenglin Airport,China,Xingyi,25.083423,104.960804,CN,,Xingyi Wanfenglin Airport,,
ACY,Atlantic City International Airport,United States of America,Atlantic City,39.45759963989258,-74.57720184,US,,Atlantic City International Airport,,
ACZ,Zabol Airport,Iran,Zabol,31.098301,61.5439,IR,,Zabol Airport,,
ADA,Adana Şakirpaşa Airport,Turkey,Seyhan,36.982201,35.280399,TR,,Adana Şakirpaşa Airport,,
ADB,Adnan Menderes International Airport,Turkey,Gaziemir,38.2924,27.157,TR,,Adnan Menderes International Airport,,
ADC,Andakombe Airport,Papua New Guinea,Andekombe,-7.137222222,145.7447222,PG,,Andakombe Airport,,
ADD,Addis Ababa Bole International Airport,Ethiopia,Addis Ababa,8.97789,38.799301,ET,,Addis Ababa Bole International Airport,,
ADE,Aden International Airport,Yemen,Aden,12.8295,45.028801,YE,,Aden International Airport,,
ADF,Adıyaman Airport,Turkey,Adıyaman,37.7314,38.468899,TR,,Adıyaman Airport,,
ADG,Lenawee County Airport,United States of America,Adrian,41.866205,-84.077983,US,,Lenawee County Airport,,
ADH,Aldan Airport,Russia,Aldan,58.60279846191406,125.40899658203125,RU,,Aldan Airport,,
ADI,Arandis Airport,Namibia,Arandis,-22.461875,14.979322,NA,,Arandis Airport,,
ADJ,Amman Civil (Marka International) Airport,Jordan,Amman,31.9727,35.9916,JO,,Amman Civil (Marka International) Airport,,
ADK,Adak Airport,United States of America,Adak,51.883564,-176.642783,US,,Adak Airport,,
ADL,Adelaide International Airport,Australia,Adelaide,-34.947512,138.533393,AU,,Adelaide International Airport,,
ADM,Ardmore Municipal Airport,United States of America,Ardmore,34.30301,-97.0196342,US,,Ardmore Municipal Airport,,
ADP,Ampara Airport,Sri Lanka,Ampara,7.336745,81.623869,LK,,Ampara Airport,,
